ID,Titre,Créateur,Type,Médium,Année,Année (numérique),Commentaire,Lien,Catégorie 1,Catégorie 2,Catégorie 3,Mots-clés,Émotion 1,Émotion 2,Émotion 3,Émotions,Durée / Dimension
PT-0001,Die bewegte Leere des Moment,Alicja Kwade,Art,"Installation: horloge de gare, pierre, acier, chaîne microphone, haut-parleur, moteur électrique",2015,20.0,"L'installation Die bewegte Leere des Moments (Le vide mouvementé du moment), initialement conçue pour l'atrium de la Kunsthalle Schirn à Francfort, comprend une horloge analogique et une pierre d'environ 30 cm de diamètre, chacune suspendue à une chaîne tournant autour de l'axe central de la salle cylindrique, entraînés par un moteur installé au centre du plafond de la rotonde. Faisant référence à l'orbite d'un système planétaire, l'horloge brillante avec son cadran double face et la grosse pierre brute créent une constellation qui fait écho à la relation universelle entre le matériel et l'immatériel. Le tic-tac monotone du mécanisme de l'horloge renforce acoustiquement l'infini du mouvement circulaire, démultiplié par les surfaces réfléchissantes des vitres recouverte d'un film miroir, faisant perdre à la rotonde ses limites spatiales et donnant naissance à une infinité d'univers parallèles.

https://alicjakwade.com",https://www.youtube.com/watch?v=B0Svdy6CCew,temps cosmique,temps et espace,,"éternité, illusion, comptage, horloge, mise en abime",fascination,tension,,"fascination, tension",1030 cm x 550 cm
PT-0002,Time No Longer,Anri Sala,Art,"Installation vidéo: images générées par ordinateur, son multicanal, lumières dynamiques ",2021,20.0,"Explorant les frontières entre le son et l'image, Anri Sala développe une recherche autour de la temporalité. L'installation vidéo Time No Longer montre un tourne-disque jouant une musique envoûtante, le Quatuor pour la fin du Temps (1941) d'Olivier Messiaen, dont Anri Sala n'a conservé pour l'essentiel que le solo de clarinette qui évoque les anges de l'Apocalypse, annonçant la fin des temps. Catapulté dans un nouvel espace-temps, dans l'apesanteur d'une station spatiale inoccupée reproduite en images de synthèse, le tourne-disque tourne sur son axe à la merci de forces cosmiques invisibles, jouant la composition par fragments, dans une série de phrases musicales hachées, tronquées, inachevées.
Ce décor, dépourvu de toute présence humaine ou de toute vie, suggère un avenir post-apocalyptique où l'homme n'est plus présent, où seul le fantôme de sa mémoire résonne à travers la mélodie d'une musique sans public. L'installation dystopique de Sala évoque les thèmes de la solitude et de la nature fragmentée de la mémoire et du temps. 

https://fr.wikipedia.org/wiki/Anri_Sala","https://www.google.com/search?q=anri+sala+Time+No+Longer&oq=anri+sala+Time+No+Longer&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg7MgYIAhBFGDwyBggDEEUYPDIGCAQQRRg8MgYIBRAuGEDSAQg0Mjc4ajBqMagCALACAA&sourceid=chrome&ie=UTF-8#fpstate=ive&vld=cid:5a6eceb4,vid:lCX5R85uPjs,st:0",expérience du temps,temps et espace,,"voyage temporel, souvenir, monde parallèle, musique, éternité",fascination,nostalgie,,"fascination, nostalgie",13 minutes
PT-0003,kith and kin ,Archie Moore,Art,Installation  ,2024,20.0,"L'œuvre kith and kin, présentée au pavillon australien lors de la 60e Biennale de Venise et lauréate du Lion d'or, est une installation sous forme de mémorial. Un gigantesque arbre généalogique, dessiné à la main à la craie sur un tableau noir par l'artiste pendant plusieurs mois, retrace plus de 65 000 ans d'histoire des Premières Nations australiennes. Faisant le lien entre le personnel et le politique, l'artiste met particulièrement l'accent sur son histoire familiale, mais rend également hommage aux membres des communautés autochtones décédés en garde à vue en Australie. En représentant ces ancêtres communs aux côtés d'animaux, de plantes et de cours d'eau, il souligne nos responsabilités mutuelles et envers notre environnement. Il rend également visible la conception du temps des peuples autochtones tels que les Kamilaroi, pour qui le passé, le présent et l'avenir coexistent.

https://en.wikipedia.org/wiki/Archie_Moore_(artist)",https://theconversation.com/archie-moores-venice-triumph-the-sublime-kith-and-kin-is-simultaneously-somber-and-stirring-228275,représentation du temps,temps et identité,,"mémoire, politique, histoire, génération, personnification",fascination,nostalgie,,"fascination, nostalgie",
PT-0004,The Crossing,Bill Viola,Art,"Installation vidéo, double projection ",1996,19.0,"Dans ses oeuvres, Viola utilise les technologies audiovisuelles les plus avancées et le temps comme médium. Pour l'installation vidéo monumentale à double projection Crossing, il manipule le temps cinématographique, provoquant une expérience directe de phénomènes spirituels.  Filmée avec une caméra haute vitesse à 300 images par seconde, il atteint un niveau de détail bien supérieur à ce que l'œil nu peut percevoir. En post-production, la vitesse de lecture est ensuite ralentie à l'extrême. Sur chacun des écrans, une silhouette humaine, immobile, est submergée soit par le feu, soit par l'eau, selon la séquence. 
L'action, ralentie à l'extrême,  invite le spectateur à ressentir le temps, plutôt qu'à le mesurer, dans une expérience de contemplation méditative. 

https://www.billviola.com/",https://www.youtube.com/watch?v=YJj3EvaYX_Q,expérience du temps,temps et sacré,,"rêve, vie, mort, monde parallèle, cycle de vie",tension,fascination,,"tension, fascination",10 minutes et 57 secondes
PT-0005,Ancestors returning again / this time only as themselves,Black Quantum Futurism,Art,"Installation vidéo, son, images d'archives et objets trouvés",2021,20.0,"Black Quantum Futurism est un collectif artistique interdisciplinaire (écriture, musique, cinéma, arts visuels, récits communautaires) qui mêle la physique quantique aux concepts afro-diasporiques du temps, des rituels, des textes et des sons.
À travers leurs recherches, elles examinent le temps et la temporalité à différentes échelles et dimensions – personnelle, communautaire, mondiale et cosmique – dans le but de développer et de mettre en œuvre une nouvelle conscience spatio-temporelle. 
Dans l'installation conçue pour les espaces intérieurs de la Hatfield House à Philadelphie, les artistes utilisent des images d'archives et des objets trouvés pour mettre en lumière les membres d'une ancienne société secrète de scientifiques, de guérisseurs et d'écrivains noirs connue sous le nom de « The Temporal Disruptors », qui ont construit une capsule temporelle quantique

Autre exposition en lien avec la notion de temps: Bending the Arrow of Time into a Circle, 2025

https://www.blackquantumfuturism.com/","https://www.youtube.com/watch?v=rRFUxiEwPFg

https://www.pastpresentprojects.org/ancestors-returning-again",temps et identité,temps et espace,,"politique, mémoire, voyage temporel, histoire, pouvoir",tension,fascination,,"tension, fascination",
PT-0006,Les Archives du Cœur,Christian Boltanski,Art,Installation et archive,2008 – ,20.0,"Projet en cours depuis 2008, l'installation et archive, Les archives du cœur, invite les visiteurs à enregistrer leur rythme cardiaque, dans une cabine prévue à cet effet. Le fichier audio ainsi obtenu est ensuite ajouté à la collection en évolution constante de battement de cœurs, conservée sur l'île japonaise de Teshima. Les visiteurs peuvent y faire l’expérience de ces rythmes cardiaques collectés à travers le monde, dans une pièce tout en longueur, au travers d’une ampoule qui s'allume et s'éteint au son du battement. La salle d'écoute permet de rechercher et écouter des enregistrements à l'aide d'une base de données informatique. Chaque battement conservé, est un moment de vie, une trace individuelle mais aussi universelle du vivant, du temps biologique. 

https://fr.wikipedia.org/wiki/Christian_Boltanski",https://benesse-artsite.jp/en/art/boltanski.html,temps biologique,temps et sacré,,"mémoire, mort, vie, éternité, coeur",sérénité,nostalgie,,"sérénité, nostalgie",
PT-0007,The Clock,Christian Marclay,Art,Installation vidéo à canal unique,2010,20.0,"Véritable horloge cinématographique, The Clock est une installation vidéo de 24 heures composée de milliers d'extraits de films et d'émissions de télévision en couleur et en noir et blanc, de diverses périodes, faisant référence au temps.
Avec l'aide d'assistants chargés de rechercher des séquences, Marclay a passé trois ans à monter méticuleusement ce film afin de créer une fluidité entre les divers plans et une tension narrative.
Chaque extrait est synchronisé avec l'heure locale, de sorte que The Clock fait correspondre l'heure fictive affichée à l'écran avec l'heure réelle de chaque minute qui passe, à l'endroit où le film est projeté.
Cette œuvre est à la fois un tour de force cinématographique et une horloge fonctionnelle, réussissant à créer sa propre fiction, l'horloge jouant le rôle d'un memento mori, nous rappelant que nous approchons inexorablement de notre fin.

https://en.wikipedia.org/wiki/Christian_Marclay","https://www.moma.org/calendar/exhibitions/5746

https://www.youtube.com/watch?v=irtVNTFr4f4",expérience du temps,représentation du temps,,"voyage temporel, cinéma, horloge, mort, histoire",surprise,fascination,,"surprise, fascination",24 heures
PT-0008,Sometimes Still,Darren Almond,Art,Installation vidéo à six écrans,2010,20.0,"Le film suit un moine bouddhiste japonais pratiquant un rituel d'endurance mentale et physique, le Sennichi Kaihyôgô, un entraînement rigoureux et répétitif qui se déroule sur une période de sept ans autour du mont Hiei, près de Kyoto, dans le but d'atteindre l'illumination. Seuls 46 moines ont accompli ce rituel au cours des quatre siècles précédents. Au travers de cette oeuvre l’artiste nous invite à participer à une méditation sur le temps et la mémoire personnelle et historique.

Autres œuvres en lien avec le temps: les photographies de la série Fullmoon ont été prises à la lumière de la pleine lune, avec des temps d'exposition longs, de quinze minutes ou plus, ou encore l'oeuvre Noli Timere ou Perfect Time. 

https://fr.wikipedia.org/wiki/Darren_Almond",https://matthewmarks.com/exhibitions/darren-almond-sometimes-still-05-2010/lightbox/installation/1,temps vécu,temps et sacré,,"voyage temporel, mort, personnification, philosophie, rituel",facination,nostalgie,,"facination, nostalgie",
PT-0009,Present,David Claerbout,Art,Fichier informatique,2000,20.0,"En 2000, pour sa première œuvre numérique, intitulée Present : Download a Friendly Virus for Your Computer, Claerbout invite les visiteurs à choisir parmi trois fleurs à télécharger et à installer sur leur ordinateur. À première vue, il s'agit d'une image photographique statique, mais en réalité, ces fleurs vivent sur l'ordinateur du visiteur pendant environ une semaine, certains éléments de l'image changeant progressivement sous l'influence de divers facteurs tels que la lumière et le vent, passant par les différentes étapes de leur cycle de vie biologique. A la fin de leur cycle de vie, elles s'effacent d'elles-mêmes, laissant derrière elles une graine à envoyer à d'autres personnes. Comme il est impossible d'avancer ou de reculer dans le processus, on est obligé de la regarder évoluer en temps réel selon son cycle naturel. La transition imperceptible entre l'immobilité et le mouvement trouble notre perception, nous donnant à ressentir le temps au travers de cette expérience méditative du passage du temps.

Autres oeuvres explorant le temps: 
Olympia (The real time disintegration into ruins of the Berlin Olympic stadium over the course of a thousand years)

https://davidclaerbout.com/","https://davidclaerbout.com/Present-2000

https://www.youtube.com/watch?v=gTad4uUhK1o
2'04''",expérience du temps,temps biologique,,"mort, vie, science, nature, compte à rebours",tension,surprise,,"tension, surprise",
PT-0010,Leaving and Waving,Deanna Dikeman,Art,Ensemble de photographies,1991-2017,19.0,"Depuis 1991, Deanna Dikeman prend des photos de ses parents lorsqu'elle leur fait ses adieux et repart après leur avoir rendu visite chez eux à Sioux City, dans l'Iowa. Ce qui était au départ un simple moyen de surmonter la tristesse du départ est progressivement devenu un rituel, l'appareil photo marquant le passage du temps, saison après saison.
En 2009, une photo a été prise alors que son père n'était plus là, décédé à l'âge de 91 ans.
La dernière photo de la série qui aura duré 27 ans, montre l'allée vide après les funérailles de sa mère. Pour la première fois de sa vie, personne ne lui a fait signe en retour, l'objectif ayant perdu ses sujets.
Cette série de photographies devient un mémorial visuel, un hommage au temps partagé et perdu, un condensé du temps familial, qui résonne de manière universelle.

https://deannadikeman.com/",https://deannadikeman.com/leaving-and-waving,temps vécu,temps biologique,,"génération, mort, vie, amour, perte",surprise,sérénité,,"surprise, sérénité",
